1509332346,401.84
1509332406,402.789
1509332466,405.349
1509332526,407.194
1509332586,409.558
1509332646,407.185
1509332706,409.347
1509332766,414.146
1509332826,411.5
1509332886,415.54
1509332946,416.251
1509333006,419.546
1509333066,417.742
1509333126,421.188
1509333186,429.283
1509333246,430.659
1509333306,427.807
1509333366,430.911
1509333426,421.69
1509333486,432.139
1509333546,421.342
1509333606,427.344
1509333666,426.156
1509333726,443.3
1509333786,428.917
1509333846,436.425
1509333906,430.504
1509333966,431.047
1509334026,457.969
1509334086,436.548
1509334146,446.901
1509334206,458.852
1509334266,453.217
1509334326,444.065
1509334386,457.314
1509334446,454.874
1509334506,455.263
1509334566,474.965
1509334626,450.408
1509334686,470.854
1509334746,462.597
1509334806,474.336
1509334866,460.21
1509334926,483.227
1509334986,457.749
1509335046,462.213
1509335106,484.963
1509335166,492.113
1509335226,452.418
1509335286,497.466
1509335346,477.826
1509335406,456.475
1509335466,463.187
1509335526,489.814
1509335586,503.963
1509335646,475.538
1509335706,460.658
1509335766,459.161
1509335826,486.004
1509335886,463.786
1509335946,475.535
1509336006,522.179
1509336066,519.839
1509336126,518.459
1509336186,482.333
1509336246,501.624
1509336306,492.139
1509336366,519.697
1509336426,504.365
1509336486,516.741
1509336546,508.744
